poly,error_type,total_frames,crc_detect,checksum_detect
CRC-8,single,3200,3200,3200
CRC-8,two,3200,3170,3144
CRC-8,odd,3200,3200,3185
CRC-8,burst,3200,3200,3200
CRC-10,single,3200,3200,3200
CRC-10,two,3200,3200,3142
CRC-10,odd,3200,3200,3188
CRC-10,burst,3200,3200,3200
CRC-16,single,3200,3200,3200
CRC-16,two,3200,3200,3114
CRC-16,odd,3200,3200,3176
CRC-16,burst,3200,3200,3200
CRC-32,single,3200,3200,3200
CRC-32,two,3200,3200,3139
CRC-32,odd,3200,3200,3183
CRC-32,burst,3200,3200,3200
