scenario_label,protocol,window,loss,err,inject,file,file_size_bytes,total_frames,transmissions,retransmissions,elapsed_sec,throughput_kbps,efficiency_percent,integrity_pass
SAW_Ideal,saw,1,0.0,0.0,none,batch_file_04.txt,710,16,16,0,0.003,231.12,100.0,True
SAW_Ideal,saw,1,0.0,0.0,none,batch_file_05.txt,780,17,17,0,0.002,380.86,100.0,True
SAW_Ideal,saw,1,0.0,0.0,none,batch_file_06.txt,850,19,19,0,0.003,276.69,100.0,True
SAW_Ideal,saw,1,0.0,0.0,none,batch_file_07.txt,920,20,20,0,0.003,299.48,100.0,True
SAW_Ideal,saw,1,0.0,0.0,none,batch_file_08.txt,990,22,22,0,0.003,322.27,100.0,True
SAW_Ideal,saw,1,0.0,0.0,none,batch_file_09.txt,1060,24,24,0,0.003,345.05,100.0,True
SAW_Ideal,saw,1,0.0,0.0,none,batch_file_10.txt,1130,25,25,0,0.003,367.84,100.0,True
SAW_Ideal,saw,1,0.0,0.0,none,batch_file_11.txt,1200,27,27,0,0.004,292.97,100.0,True
SAW_Ideal,saw,1,0.0,0.0,none,batch_file_12.txt,1270,28,28,0,0.004,310.06,100.0,True
SAW_Ideal,saw,1,0.0,0.0,none,batch_file_13.txt,1340,30,30,0,0.004,327.15,100.0,True
SAW_Loss05,saw,1,0.05,0.05,none,batch_file_07.txt,920,20,22,2,0.305,2.95,90.91,True
SAW_Loss05,saw,1,0.05,0.05,none,batch_file_08.txt,990,22,23,1,0.154,6.28,95.65,True
SAW_Loss05,saw,1,0.05,0.05,none,batch_file_09.txt,1060,24,24,0,0.003,345.05,100.0,True
SAW_Loss05,saw,1,0.05,0.05,none,batch_file_10.txt,1130,25,26,1,0.155,7.12,96.15,True
SAW_Loss05,saw,1,0.05,0.05,none,batch_file_11.txt,1200,27,28,1,0.155,7.56,96.43,True
SAW_Loss05,saw,1,0.05,0.05,none,batch_file_12.txt,1270,28,31,3,0.458,2.71,90.32,True
SAW_Loss05,saw,1,0.05,0.05,none,batch_file_13.txt,1340,30,30,0,0.003,436.2,100.0,True
SAW_Loss05,saw,1,0.05,0.05,none,batch_file_14.txt,1410,31,32,1,0.155,8.88,96.88,True
SAW_Loss05,saw,1,0.05,0.05,none,batch_file_15.txt,1480,33,35,2,0.307,4.71,94.29,True
SAW_Loss05,saw,1,0.05,0.05,none,batch_file_16.txt,1550,34,37,3,0.459,3.3,91.89,True
SAW_Loss15,saw,1,0.15,0.15,none,batch_file_10.txt,1130,25,32,7,1.061,1.04,78.12,True
SAW_Loss15,saw,1,0.15,0.15,none,batch_file_11.txt,1200,27,36,9,1.364,0.86,75.0,True
SAW_Loss15,saw,1,0.15,0.15,none,batch_file_12.txt,1270,28,36,8,1.212,1.02,77.78,True
SAW_Loss15,saw,1,0.15,0.15,none,batch_file_13.txt,1340,30,32,2,0.306,4.28,93.75,True
