strategy,N,p,collisions,avg_delay,throughput
p-persistent,10,0.1,13,1.1876,9.54
p-persistent,10,0.3,50,2.2841,4.94
p-persistent,10,0.5,69,2.5739,4.08
p-persistent,10,0.7,61,2.7509,3.95
p-persistent,10,0.9,67,2.4844,4.49
non-persistent,2,0.5,1,0.2715,7.44
non-persistent,5,0.5,15,0.941,6.59
non-persistent,10,0.5,46,2.1885,4.83
non-persistent,15,0.5,63,2.8695,5.54
non-persistent,20,0.5,99,3.6474,6.07
1-persistent,2,0.5,2,0.291,6.95
1-persistent,5,0.5,26,1.2236,4.41
1-persistent,10,0.5,71,2.5734,4.51
1-persistent,15,0.5,118,3.8383,4.87
1-persistent,20,0.5,172,3.9716,5.78
p-persistent,2,0.1,0,0.3605,5.71
p-persistent,5,0.1,1,0.5598,9.87
p-persistent,10,0.1,6,1.1191,10.06
p-persistent,15,0.1,26,1.9481,10.26
p-persistent,20,0.1,64,3.6211,6.38
csmacd,2,0.5,2,0.2735,7.36
csmacd,5,0.5,19,0.6042,9.15
csmacd,10,0.5,59,1.793,6.1
csmacd,15,0.5,103,2.7355,7.13
csmacd,20,0.5,160,3.3954,7.09
