--- CSMA Channel Emulation Trace Started at 2026-09-25 16:27:53.808406 ---
Time       | Event        | Details
--------------------------------------------------------------------------------
[  0.523s] | TX_START     | Station st_0 (pos:  859.1m) started transmitting: "This is a long stream of data for tes..."
[  0.526s] | COLLISION    | Stations ['st_0', 'st_1'] collided on wire! (Active signals interfered)
[  0.526s] | COLLISION    | Stations ['st_0', 'st_1', 'st_2'] collided on wire! (Active signals interfered)
[  0.534s] | TX_ABORT     | Station st_0 aborted/ended due to collision.
[  0.539s] | TX_ABORT     | Station st_2 aborted/ended due to collision.
[  0.612s] | TX_ABORT     | Station st_1 aborted/ended due to collision.
[  0.613s] | TX_START     | Station st_1 (pos:  999.3m) started transmitting: "This is a long stream of data for tes..."
[  0.615s] | COLLISION    | Stations ['st_1', 'st_3'] collided on wire! (Active signals interfered)
[  0.623s] | TX_ABORT     | Station st_1 aborted/ended due to collision.
[  0.623s] | COLLISION    | Stations ['st_3', 'st_2'] collided on wire! (Active signals interfered)
[  0.636s] | TX_ABORT     | Station st_2 aborted/ended due to collision.
[  0.728s] | TX_ABORT     | Station st_3 aborted/ended due to collision.
[  0.728s] | TX_START     | Station st_3 (pos:  779.5m) started transmitting: "This is a long stream of data for tes..."
[  0.735s] | COLLISION    | Stations ['st_3', 'st_2'] collided on wire! (Active signals interfered)
[  0.748s] | TX_ABORT     | Station st_2 aborted/ended due to collision.
[  0.839s] | TX_ABORT     | Station st_3 aborted/ended due to collision.
[  0.843s] | TX_START     | Station st_4 (pos:  685.6m) started transmitting: "This is a long stream of data for tes..."
[  0.844s] | COLLISION    | Stations ['st_4', 'st_0'] collided on wire! (Active signals interfered)
[  0.847s] | COLLISION    | Stations ['st_4', 'st_0', 'st_2'] collided on wire! (Active signals interfered)
[  0.857s] | TX_ABORT     | Station st_4 aborted/ended due to collision.
[  0.857s] | TX_ABORT     | Station st_0 aborted/ended due to collision.
[  0.857s] | COLLISION    | Stations ['st_2', 'st_0'] collided on wire! (Active signals interfered)
[  0.860s] | COLLISION    | Stations ['st_2', 'st_0', 'st_1'] collided on wire! (Active signals interfered)
[  0.870s] | TX_ABORT     | Station st_0 aborted/ended due to collision.
[  0.873s] | TX_ABORT     | Station st_1 aborted/ended due to collision.
[  0.957s] | TX_ABORT     | Station st_2 aborted/ended due to collision.
[  0.957s] | TX_START     | Station st_4 (pos:  685.6m) started transmitting: "This is a long stream of data for tes..."
[  0.961s] | COLLISION    | Stations ['st_4', 'st_1'] collided on wire! (Active signals interfered)
[  0.970s] | TX_ABORT     | Station st_4 aborted/ended due to collision.
[  1.035s] | TX_ABORT     | Station st_1 aborted/ended due to collision.
[  1.040s] | TX_START     | Station st_3 (pos:  779.5m) started transmitting: "This is a long stream of data for tes..."
[  1.040s] | COLLISION    | Stations ['st_3', 'st_4'] collided on wire! (Active signals interfered)
[  1.042s] | COLLISION    | Stations ['st_3', 'st_4', 'st_2'] collided on wire! (Active signals interfered)
[  1.052s] | TX_ABORT     | Station st_3 aborted/ended due to collision.
[  1.054s] | TX_ABORT     | Station st_4 aborted/ended due to collision.
[  1.204s] | TX_ABORT     | Station st_2 aborted/ended due to collision.
[  1.208s] | TX_START     | Station st_4 (pos:  685.6m) started transmitting: "This is a long stream of data for tes..."
[  1.209s] | COLLISION    | Stations ['st_4', 'st_3'] collided on wire! (Active signals interfered)
[  1.220s] | TX_ABORT     | Station st_3 aborted/ended due to collision.
[  1.282s] | TX_ABORT     | Station st_4 aborted/ended due to collision.
[  1.289s] | TX_START     | Station st_1 (pos:  999.3m) started transmitting: "This is a long stream of data for tes..."
[  1.291s] | COLLISION    | Stations ['st_1', 'st_0'] collided on wire! (Active signals interfered)
[  1.292s] | COLLISION    | Stations ['st_1', 'st_0', 'st_3'] collided on wire! (Active signals interfered)
[  1.301s] | TX_ABORT     | Station st_1 aborted/ended due to collision.
[  1.303s] | TX_ABORT     | Station st_3 aborted/ended due to collision.
[  1.303s] | TX_ABORT     | Station st_0 aborted/ended due to collision.
[  1.413s] | TX_START     | Station st_1 (pos:  999.3m) started transmitting: "This is a long stream of data for tes..."
[  1.511s] | SUCCESS      | Station st_1 transmission delivered cleanly.
[  1.511s] | TX_START     | Station st_3 (pos:  779.5m) started transmitting: "This is a long stream of data for tes..."
[  1.690s] | SUCCESS      | Station st_3 transmission delivered cleanly.
[  1.695s] | TX_START     | Station st_2 (pos:  346.1m) started transmitting: "This is a long stream of data for tes..."
[  1.696s] | COLLISION    | Stations ['st_2', 'st_4'] collided on wire! (Active signals interfered)
[  1.696s] | COLLISION    | Stations ['st_2', 'st_4', 'st_0'] collided on wire! (Active signals interfered)
